"metrics","mean","sd","type","frag","k"
"AUC","0.791374672666194",0.0021781108518128,"{0,k}-mer","10.000 bp","k = 2"
"AUC","0.807179363794218",0.00963853889880203,"{1,k-1}-mer","10.000 bp","k = 2"
"AUC","0.846840230569856",0.0025783067665324,"{1,k-1}-mer","10.000 bp","k = 3"
"AUC","0.810406687329764",0.00931934326042198,"{0,k}-mer","10.000 bp","k = 3"
"AUC","0.844106159901825",0.0031895714001247,"{2,k-2}-mer","10.000 bp","k = 3"
"AUC","0.842576037640733",0.005737151567722,"{1,k-1}-mer","10.000 bp","k = 4"
"AUC","0.848147344729432",0.0073638932041204,"{3,k-3}-mer","10.000 bp","k = 4"
"AUC","0.848769190815906",0.0022252669818388,"{2,k-2}-mer","10.000 bp","k = 4"
"AUC","0.807748735744687",0.0141477828124258,"{0,k}-mer","10.000 bp","k = 4"
"AUC","0.807748735744687",0.0611477828124258,"{0,k}-mer","10.000 bp","k = 5"
"AUC","0.830845108792513",0.07355354442901545,"{4,k-4}-mer","10.000 bp","k = 5"
"AUC","0.826918317776997",0.0226551642149892,"{1,k-1}-mer","10.000 bp","k = 5"
"AUC","0.817704129176151",0.0348783372424406,"{3,k-3}-mer","10.000 bp","k = 5"
"AUC","0.837767703925493",0.0244950199429942,"{2,k-2}-mer","10.000 bp","k = 5"
"AUC","0.77458",0.00044043662227203,"{0,k}-mer","1.000 bp","k = 2"
"AUC","0.79588",0.0129204561519153,"{1,k-1}-mer","1.000 bp","k = 2"
"AUC","0.81142387579373",0.00127430077578615,"{1,k-1}-mer","1.000 bp","k = 3"
"AUC","0.804179460543937",0.070102348148763544,"{2,k-2}-mer","1.000 bp","k = 3"
"AUC","0.783069072086355",0.00184301624541934,"{0,k}-mer","1.000 bp","k = 3"
"AUC","0.806638201881018",0.00848420397926395,"{1,k-1}-mer","1.000 bp","k = 4"
"AUC","0.79033798750401",0.00114331804248292,"{3,k-3}-mer","1.000 bp","k = 4"
"AUC","0.800133972899895",0.00886213102786744,"{2,k-2}-mer","1.000 bp","k = 4"
"AUC","0.770404349792186",0.026754430509046,"{0,k}-mer","1.000 bp","k = 4"
"AUC","0.816493331907548",0.017103341219914,"{4,k-4}-mer","1.000 bp","k = 5"
"AUC","0.82955869398064",0.0512703827691147,"{1,k-1}-mer","1.000 bp","k = 5"
"AUC","0.811491091387747",0.0127472465063142,"{3,k-3}-mer","1.000 bp","k = 5"
"AUC","0.81042432389769",0.032432335259109,"{2,k-2}-mer","1.000 bp","k = 5"
"AUC","0.798314882573555",0.0132890233017994,"{0,k}-mer","1.000 bp","k = 5"
"AUC","0.807507396261387",0.0125396166587078,"{1,k-1}-mer","3.000 bp","k = 4"
"AUC","0.792534817168492",0.00781851288563846,"{1,k-1}-mer","3.000 bp","k = 3"
"AUC","0.822843334050424",0.00305895191324886,"{0,k}-mer","3.000 bp","k = 2"
"AUC","0.793780011508124",0.0109994044974353,"{1,k-1}-mer","3.000 bp","k = 2"
"AUC","0.793264768335345",0.011357341979691,"{2,k-2}-mer","3.000 bp","k = 3"
"AUC","0.767994866357215",0.00353598983644865,"{0,k}-mer","3.000 bp","k = 3"
"AUC","0.819670159840719",0.0097173493702776,"{3,k-3}-mer","3.000 bp","k = 4"
"AUC","0.799769277381443",0.00535629080206816,"{2,k-2}-mer","3.000 bp","k = 4"
"AUC","0.787178685971548",0.00302569507779651,"{0,k}-mer","3.000 bp","k = 4"
"AUC","0.790256030308122",0.0208564623928673,"{4,k-4}-mer","3.000 bp","k = 5"
"AUC","0.803884246599757",0.0159444165994169,"{1,k-1}-mer","3.000 bp","k = 5"
"AUC","0.83065430816313",0.00063771553658563,"{3,k-3}-mer","3.000 bp","k = 5"
"AUC","0.835084605082925",0.00456624598862883,"{2,k-2}-mer","3.000 bp","k = 5"
"AUC","0.804433651651928",0.00298404622301226,"{0,k}-mer","3.000 bp","k = 5"
"AUC","0.810460885107163",0.0073707270301553,"{1,k-1}-mer","5.000 bp","k = 3"
"AUC","0.773411585401471",0.00439749135069788,"{0,k}-mer","5.000 bp","k = 2"
"AUC","0.804789350010321",0.0143978650308473,"{1,k-1}-mer","5.000 bp","k = 2"
"AUC","0.815618892674009",0.00754888671728909,"{2,k-2}-mer","5.000 bp","k = 3"
"AUC","0.770295047956915",0.00361575124015424,"{0,k}-mer","5.000 bp","k = 3"
"AUC","0.806373031270528",0.0317012426718066,"{1,k-1}-mer","5.000 bp","k = 4"
"AUC","0.818852828401644",0.0557794841253983,"{3,k-3}-mer","5.000 bp","k = 4"
"AUC","0.806143377990967",0.0291830563985458,"{2,k-2}-mer","5.000 bp","k = 4"
"AUC","0.761118994676646",0.000425096897389692,"{0,k}-mer","5.000 bp","k = 4"
"AUC","0.8370378927911275",0.0119077506742765,"{4,k-4}-mer","5.000 bp","k = 5"
"AUC","0.859492624106975",0.0321805834168884,"{1,k-1}-mer","5.000 bp","k = 5"
"AUC","0.8364918806617681",0.00771522869408951,"{3,k-3}-mer","5.000 bp","k = 5"
"AUC","0.825213269478519",0.039765586276689,"{2,k-2}-mer","5.000 bp","k = 5"
"AUC","0.809535407578929",0.0583637905416342,"{0,k}-mer","5.000 bp","k = 5"
"AUC","0.745464551412291",0.00114194862891155,"{1,k-1}-mer","300 bp","k = 2"
"AUC","0.651132795899286",0.00133175476159665,"{0,k}-mer","300 bp","k = 2"
"AUC","0.78200569804922",0.00856024779377032,"{1,k-1}-mer","300 bp","k = 3"
"AUC","0.795259085562396",0.00895336485902948,"{2,k-2}-mer","300 bp","k = 3"
"AUC","0.74642699018837",0.000862788302814247,"{0,k}-mer","300 bp","k = 3"
"AUC","0.783750120937148",0.00140286528232203,"{1,k-1}-mer","300 bp","k = 4"
"AUC","0.774623694515309",0.0005026177256401,"{3,k-3}-mer","300 bp","k = 4"
"AUC","0.798822224938004",0.0105606439755119,"{2,k-2}-mer","300 bp","k = 4"
"AUC","0.716825122745882",0.00204630707779044,"{0,k}-mer","300 bp","k = 4"
"AUC","0.743866551585422",0.0116184412318073,"{4,k-4}-mer","300 bp","k = 5"
"AUC","0.772309975914412",0.0203118215178181,"{1,k-1}-mer","300 bp","k = 5"
"AUC","0.773117199553933",0.0128555638946049,"{3,k-3}-mer","300 bp","k = 5"
"AUC","0.77634156215151",0.0093934334416665,"{2,k-2}-mer","300 bp","k = 5"
"AUC","0.737671252618419",0.0643138790453164,"{0,k}-mer","300 bp","k = 5"
